situation the body constructs (loop.py:391): HIDDEN alone -> CHANGE_GRANULARITY

   x bits                                     ruling
 125 BUILT+UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED ADD_MATERIAL
 126 AMB+UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED  ADD_STATE
 127 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED ADD_STATE
 144 HIDDEN+SELF                              CHANGE_GRANULARITY
 145 BUILT+HIDDEN+SELF                        CHANGE_GRANULARITY
 146 AMB+HIDDEN+SELF                          ADD_STATE
 147 BUILT+AMB+HIDDEN+SELF                    ADD_STATE
 148 UNREAD+HIDDEN+SELF                       ADD_MATERIAL
 149 BUILT+UNREAD+HIDDEN+SELF                 ADD_MATERIAL
 150 AMB+UNREAD+HIDDEN+SELF                   ADD_STATE
 151 BUILT+AMB+UNREAD+HIDDEN+SELF             RAISE_BUDGET
 152 NOTWIN+HIDDEN+SELF                       AUTHOR_SUCCESSOR
 153 BUILT+NOTWIN+HIDDEN+SELF                 RESHAPE
 154 AMB+NOTWIN+HIDDEN+SELF                   ADD_STATE
 155 BUILT+AMB+NOTWIN+HIDDEN+SELF             ADD_STATE
 156 UNREAD+NOTWIN+HIDDEN+SELF                ADD_MATERIAL
 157 BUILT+UNREAD+NOTWIN+HIDDEN+SELF          ADD_MATERIAL
 158 AMB+UNREAD+NOTWIN+HIDDEN+SELF            ADD_STATE
 159 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+SELF      ADD_STATE
 176 HIDDEN+CAPPED+SELF                       CHANGE_GRANULARITY
 177 BUILT+HIDDEN+CAPPED+SELF                 CHANGE_GRANULARITY
 178 AMB+HIDDEN+CAPPED+SELF                   ADD_STATE
 179 BUILT+AMB+HIDDEN+CAPPED+SELF             ADD_STATE
 180 UNREAD+HIDDEN+CAPPED+SELF                ADD_MATERIAL
 181 BUILT+UNREAD+HIDDEN+CAPPED+SELF          ADD_MATERIAL
 182 AMB+UNREAD+HIDDEN+CAPPED+SELF            ADD_STATE
 183 BUILT+AMB+UNREAD+HIDDEN+CAPPED+SELF      RAISE_BUDGET
 184 NOTWIN+HIDDEN+CAPPED+SELF                AUTHOR_SUCCESSOR
 185 BUILT+NOTWIN+HIDDEN+CAPPED+SELF          RESHAPE
 186 AMB+NOTWIN+HIDDEN+CAPPED+SELF            ADD_STATE
 187 BUILT+AMB+NOTWIN+HIDDEN+CAPPED+SELF      ADD_STATE
 188 UNREAD+NOTWIN+HIDDEN+CAPPED+SELF         ADD_MATERIAL
 189 BUILT+UNREAD+NOTWIN+HIDDEN+CAPPED+SELF   ADD_MATERIAL
 190 AMB+UNREAD+NOTWIN+HIDDEN+CAPPED+SELF     ADD_STATE
 191 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+CAPPED+SELF ADD_STATE
 208 HIDDEN+REFUTED+SELF                      CHANGE_GRANULARITY
 209 BUILT+HIDDEN+REFUTED+SELF                CHANGE_GRANULARITY
 210 AMB+HIDDEN+REFUTED+SELF                  ADD_STATE
 211 BUILT+AMB+HIDDEN+REFUTED+SELF            ADD_STATE
 212 UNREAD+HIDDEN+REFUTED+SELF               ADD_MATERIAL
 213 BUILT+UNREAD+HIDDEN+REFUTED+SELF         ADD_MATERIAL
 214 AMB+UNREAD+HIDDEN+REFUTED+SELF           ADD_STATE
 215 BUILT+AMB+UNREAD+HIDDEN+REFUTED+SELF     RAISE_BUDGET
 216 NOTWIN+HIDDEN+REFUTED+SELF               AUTHOR_SUCCESSOR
 217 BUILT+NOTWIN+HIDDEN+REFUTED+SELF         RESHAPE
 218 AMB+NOTWIN+HIDDEN+REFUTED+SELF           ADD_STATE
 219 BUILT+AMB+NOTWIN+HIDDEN+REFUTED+SELF     ADD_STATE
 220 UNREAD+NOTWIN+HIDDEN+REFUTED+SELF        ADD_MATERIAL
 221 BUILT+UNREAD+NOTWIN+HIDDEN+REFUTED+SELF  ADD_MATERIAL
 222 AMB+UNREAD+NOTWIN+HIDDEN+REFUTED+SELF    ADD_STATE
 223 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+REFUTED+SELF ADD_STATE
 240 HIDDEN+CAPPED+REFUTED+SELF               CHANGE_GRANULARITY
 241 BUILT+HIDDEN+CAPPED+REFUTED+SELF         CHANGE_GRANULARITY
 242 AMB+HIDDEN+CAPPED+REFUTED+SELF           ADD_STATE
 243 BUILT+AMB+HIDDEN+CAPPED+REFUTED+SELF     ADD_STATE
 244 UNREAD+HIDDEN+CAPPED+REFUTED+SELF        ADD_MATERIAL
 245 BUILT+UNREAD+HIDDEN+CAPPED+REFUTED+SELF  ADD_MATERIAL
 246 AMB+UNREAD+HIDDEN+CAPPED+REFUTED+SELF    ADD_STATE
 247 BUILT+AMB+UNREAD+HIDDEN+CAPPED+REFUTED+SELF RAISE_BUDGET
 248 NOTWIN+HIDDEN+CAPPED+REFUTED+SELF        AUTHOR_SUCCESSOR
 249 BUILT+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF  RESHAPE
 250 AMB+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF    ADD_STATE
 251 BUILT+AMB+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF ADD_STATE
 252 UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF ADD_MATERIAL
 253 BUILT+UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF ADD_MATERIAL
 254 AMB+UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF ADD_STATE
 255 BUILT+AMB+UNREAD+NOTWIN+HIDDEN+CAPPED+REFUTED+SELF ADD_STATE

rulings over the 128 HIDDEN=1 situations: {'CHANGE_GRANULARITY': 16, 'ADD_STATE': 56, 'ADD_MATERIAL': 32, 'RAISE_BUDGET': 8, 'AUTHOR_SUCCESSOR': 8, 'RESHAPE': 8}
HIDDEN with BUILT and nothing else -> CHANGE_GRANULARITY
HIDDEN with REFUTED -> CHANGE_GRANULARITY
HIDDEN with AMB -> ADD_STATE
HIDDEN with CAPPED -> CHANGE_GRANULARITY
